KOL ID,Serial Number,Project_Type,Project_Data_Point,Project_Data Point_Expl,Salutation,Last Name,First Name,Vlookup Name,Full Name,City,Country,Position,Department,Affiliation,E_mail,Contact Info,URL,Organization,Organization_Committee,Organization_Role,Congress,Congress_Year,Congress_Session,Congress_Title_of_Session,Congress_Role,Journal,Journal_Editorial Board,Journal_Role,Guideline_Name,Guideline_Year,Guideline_Role,CT_NCT_Id_Breast Cancer,title,recruiting,conditions,interventions,lead_sponsor,other_sponsor,phase,study_type,Role,start_dt,end_dt,First Author,Last Author,Total Pub Count,Total 2002-2006,Total 2007-2011,Total 2012-2017
,20,CLINICAL,ACADEMIC,ACADEMIC_The University of Texas MD Anderson Cancer Center,,Abouharb,Sausan,Abouharb S,Sausan Abouharb,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,CLINICAL,ACADEMIC,ACADEMIC_The University of Texas MD Anderson Cancer Center,,Adrada,Beatriz,Adrada B,Beatriz Adrada,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,CLINICAL,ACADEMIC,ACADEMIC_University of Utah,,Agarwal,Jay,Agarwal J,Jay Agarwal,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://healthcare.utah.edu/huntsmancancerinstitute/patient-care/clinics-and-care-teams/breast-cancer-program/our-team.php,University of Utah,Huntsman Cancer Institute’s Breast Cancer Program,Reconstructive Surgery Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,87,CLINICAL,ACADEMIC,ACADEMIC_Barbara Ann Karmanos Cancer Center,,Albrecht,Terrance Lynn,Albrecht T,Terrance Lynn Albrecht,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://www.karmanos.org/Leadership,Barbara Ann Karmanos Cancer Center,Leadership team,"Associate Center Director, Population Science",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,89,CLINICAL,ACADEMIC,ACADEMIC_Johns Hopkins University,,Alcorn,Sara Rachel,Alcorn S,Sara Rachel Alcorn,(Blank),USA,Assistant of Radiation Oncology and Molecular Radiation Sciences,(Blank),(Blank),(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/radiation_oncologists.html,Johns Hopkins University,Johns Hopkins Breast Center,Radiation Oncologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,105,CLINICAL,ACADEMIC,ACADEMIC_Johns Hopkins University,,Aliu,Oluseyi,Aliu O,Oluseyi Aliu,(Blank),USA,Assistant Professor of Plastic and Reconstructive Surgery,(Blank),(Blank),(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/breast_plastic_reconstructive_surgeons.html,Johns Hopkins University,Johns Hopkins Breast Center,Breast Plastic and Reconstructive Surgeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,120,CLINICAL,ACADEMIC,ACADEMIC_Barbara Ann Karmanos Cancer Center,,Al-Mufarrej,Faisal,Al-Mufarrej F,Faisal Al-Mufarrej,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://www.karmanos.org/cancer-care/teams/breast-team,Barbara Ann Karmanos Cancer Center,Breast Cancer Program,Plastic & Reconstructive Surgeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,138,CLINICAL,ACADEMIC,ACADEMIC_The University of Texas MD Anderson Cancer Center,,Ames,Frederick C,Ames F,Frederick C Ames,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,CLINICAL,ACADEMIC,ACADEMIC_Barbara Ann Karmanos Cancer Center,,Amit-Yousif,Alit,Amit-Yousif A,Alit Amit-Yousif,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://www.karmanos.org/cancer-care/teams/breast-team,Barbara Ann Karmanos Cancer Center,Breast Cancer Program,Radiologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,160,CLINICAL,ACADEMIC,ACADEMIC_The University of Texas MD Anderson Cancer Center,,Anderson,Ashley Towler,Anderson A,Ashley Towler Anderson,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/cancer-prevention-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Cancer Prevention Center,Nurse practitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,179,CLINICAL,ACADEMIC,ACADEMIC_University of Utah,,Anderson,Leslie,Anderson L,Leslie Anderson,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://healthcare.utah.edu/huntsmancancerinstitute/patient-care/clinics-and-care-teams/breast-cancer-program/our-team.php,University of Utah,Huntsman Cancer Institute’s Breast Cancer Program,Outpatient Service Specialist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,208,CLINICAL,ACADEMIC,ACADEMIC_Johns Hopkins University,,Argani,Pedram,Argani P,Pedram Argani,(Blank),USA,Professor of Pathology,(Blank),(Blank),(Blank),(Blank),http://pathology.jhu.edu/breast/expertise.php,Johns Hopkins University,Breast Cancer & Breast Pathology,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,209,CLINICAL,ACADEMIC,ACADEMIC_Johns Hopkins University,,Argani,Pedram,Argani P,Pedram Argani,(Blank),USA,Professor of Pathology,(Blank),(Blank),(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/diagnosticians/pathology.html,Johns Hopkins University,Johns Hopkins Breast Center,Diagnosticians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
